field_soil_temp_c,field_air_temp_c,field_rh,field_soil_wc
-0.032,4.532,82.9,0.2182
-0.032,1.344,80.6,0.2167
-0.032,-0.535,76.3,0.2146
-0.032,-0.789,72.5,0.2131
-0.032,-1.556,68.1,0.2116
-0.032,-2.16,68.4,0.2116
-0.032,-2.976,67.3,0.2109
-0.032,-3.449,67,0.2102
-0.032,-2.537,67.8,0.2095
-0.032,-0.704,63,0.2095
-0.032,0.329,55.2,0.2102
-0.032,1.643,49.2,0.2102
-0.032,2.182,46.2,0.2109
-0.032,4.194,42.1,0.2116
-0.032,3.591,38.9,0.2124
-0.004,4.636,38.7,0.2131
-0.004,3.089,38.3,0.2146
-0.004,3.512,40.7,0.2167
-0.004,1.805,41.6,0.2175
-0.032,0.495,45.8,0.2167
-0.032,-0.648,50.3,0.2167
-0.032,-1.929,54.4,0.2167
-0.032,-1.986,56.3,0.216
-0.032,-1.556,58.4,0.2167
-0.032,-1.871,60.5,0.2167
-0.032,-2.508,65,0.2167
-0.032,-3.242,72,0.216
-0.032,-3.687,78.3,0.216
-0.032,-4.59,82.5,0.2153
-0.032,-4.773,86.3,0.2153
-0.032,-4.926,88.6,0.2146
-0.032,-4.957,90.3,0.2146
-0.032,-2.625,91.5,0.2138
-0.032,0.384,83.7,0.2138
-0.032,2.503,71.9,0.2146
-0.032,3.643,60.8,0.2153
-0.032,5.565,49.6,0.2153
-0.032,6.914,38.5,0.216
-0.032,7.091,32.9,0.2167
-0.032,8.17,32.4,0.2182
-0.032,8.817,30.3,0.2196
-0.032,7.795,30,0.2211
-0.032,6.433,33.5,0.2211
-0.004,5.437,36.2,0.2211
-0.004,4.48,39.7,0.2211
-0.004,3.142,45.4,0.2204
-0.004,2.503,49,0.2204
-0.004,2.047,51.6,0.2204
-0.004,2.101,55.4,0.2204
-0.004,2.37,53.2,0.2196
-0.004,2.236,52.3,0.2204
-0.004,1.615,54.5,0.2196
-0.004,0.024,58.4,0.2196
-0.004,1.398,64.7,0.2182
-0.004,1.099,73.6,0.2182
-0.004,1.561,74.8,0.2175
0.024,2.584,77.9,0.2175
3.591,4.584,84,0.1724
3.591,1.317,81.3,0.1717
3.538,-0.479,77.1,0.171
3.406,-0.845,73.8,0.171
3.274,-1.327,69.9,0.1702
3.142,-1.871,69.8,0.1695
3.009,-2.654,69,0.1688
2.877,-3.094,67.6,0.1688
2.77,-2.859,67.7,0.1681
2.664,-2.102,67,0.1681
2.584,-1.128,61.1,0.1673
2.503,0.163,56.3,0.1673
2.45,0.632,53.9,0.1673
2.423,1.425,50.5,0.1673
2.477,1.697,47,0.1666
2.557,1.994,46.3,0.1666
2.584,2.61,46.8,0.1666
2.584,1.967,47.9,0.1659
2.584,1.398,48.4,0.1659
2.584,0.439,50.4,0.1652
2.53,-0.199,53.7,0.1652
2.477,-1.213,55.9,0.1644
2.423,-1.185,59,0.1644
2.37,-0.845,60.9,0.1644
2.343,-1.441,62.8,0.1637
2.289,-1.441,65.6,0.1637
2.262,-2.189,72,0.1637
2.236,-2.8,77.8,0.1637
2.182,-3.39,81.8,0.163
2.155,-3.777,84.8,0.163
2.101,-3.807,85.9,0.163
2.047,-4.076,86.5,0.1623
2.021,-3.39,87.8,0.1623
1.967,-1.015,85.4,0.1623
1.94,0.495,77.3,0.1623
1.913,1.751,69.3,0.1623
1.94,3.617,59,0.1615
2.047,4.141,47.3,0.1615
2.155,4.999,41,0.1615
2.289,5.847,40.4,0.1608
2.396,6.636,38.4,0.1608
2.503,6.864,37.7,0.1608
2.557,6.077,39.6,0.1608
2.61,5.282,42.1,0.1601
2.637,4.61,44.2,0.1601
2.637,3.327,49.6,0.1601
2.637,2.823,53.3,0.1601
2.637,2.61,56.5,0.1594
2.61,2.074,61.8,0.1594
2.584,2.343,60,0.1594
2.584,2.289,57.6,0.1594
2.584,1.967,58.2,0.1594
2.557,0.989,61.6,0.1586
2.53,1.344,66,0.1586
2.503,1.153,75.9,0.1586
2.477,1.588,75.5,0.1586
2.477,2.182,79,0.1586
6.128,4.714,89.3,0.455
6.051,1.832,84.2,0.455
5.924,-0.255,79.6,0.455
5.693,-0.535,75.4,0.455
5.385,-1.043,71.1,0.455
5.128,-1.556,70,0.455
4.869,-2.392,68.8,0.4542
4.636,-3.212,68.6,0.455
4.48,-1.584,67.8,0.455
4.376,-0.116,65,0.4542
4.22,1.262,58.6,0.455
4.063,2.584,51,0.4542
4.011,3.433,46.8,0.4542
4.22,4.141,44.3,0.455
4.74,5.36,40.9,0.455
5.282,4.011,40.8,0.455
5.745,5.385,40.2,0.4557
6.102,3.459,42,0.4557
6.306,2.101,43.6,0.4557
6.382,1.017,47.5,0.455
6.306,-0.004,50.8,0.455
6.102,-1.299,53.9,0.4542
5.872,-1.613,58.6,0.4542
5.616,-0.76,60.5,0.4542
5.36,-1.1,60,0.4542
5.154,-1.413,63.7,0.4542
4.973,-2.566,70.2,0.4542
4.792,-3.36,73.5,0.4542
4.662,-3.538,76.1,0.4542
4.584,-4.046,80.1,0.4542
4.506,-4.106,83.3,0.4542
4.402,-4.137,85.5,0.4542
4.272,-1.299,86.9,0.4542
4.115,0.852,86.7,0.4542
4.011,2.316,78,0.4542
3.958,4.246,64.5,0.4542
4.011,5.257,52.6,0.4542
4.246,7.444,42.1,0.4542
4.74,7.945,35.8,0.455
5.488,7.77,34.1,0.4557
6.23,8.643,33.1,0.455
6.737,8.593,32.8,0.455
7.041,6.99,34.8,0.4557
7.167,5.949,37.7,0.4557
7.192,4.61,41.3,0.455
7.091,3.827,47.2,0.455
6.94,3.274,50.7,0.4542
6.737,2.53,53.4,0.4542
6.535,2.823,55.1,0.4542
6.306,3.168,53.6,0.4542
6.128,3.116,53.3,0.4542
6,2.316,55.8,0.4542
5.872,0.495,59,0.4542
5.745,1.126,64.8,0.4542
5.565,1.832,70.6,0.4542
5.411,2.047,74.4,0.455
5.334,2.584,76.5,0.4542
