field_soil_temp_c,field_air_temp_c,field_rh,field_soil_wc
-0.032,4.532,82.9,0.2182
-0.032,1.344,80.6,0.2167
-0.032,-0.535,76.3,0.2146
-0.032,-0.789,72.5,0.2131
-0.032,-1.556,68.1,0.2116
-0.032,-2.16,68.4,0.2116
-0.032,-2.976,67.3,0.2109
-0.032,-3.449,67,0.2102
-0.032,-2.537,67.8,0.2095
-0.032,-0.704,63,0.2095
-0.032,0.329,55.2,0.2102
-0.032,1.643,49.2,0.2102
-0.032,2.182,46.2,0.2109
-0.032,4.194,42.1,0.2116
-0.032,3.591,38.9,0.2124
-0.004,4.636,38.7,0.2131
-0.004,3.089,38.3,0.2146
-0.004,3.512,40.7,0.2167
-0.004,1.805,41.6,0.2175
-0.032,0.495,45.8,0.2167
-0.032,-0.648,50.3,0.2167
-0.032,-1.929,54.4,0.2167
-0.032,-1.986,56.3,0.216
-0.032,-1.556,58.4,0.2167
-0.032,-1.871,60.5,0.2167
-0.032,-2.508,65,0.2167
-0.032,-3.242,72,0.216
-0.032,-3.687,78.3,0.216
-0.032,-4.59,82.5,0.2153
-0.032,-4.773,86.3,0.2153
-0.032,-4.926,88.6,0.2146
-0.032,-4.957,90.3,0.2146
-0.032,-2.625,91.5,0.2138
-0.032,0.384,83.7,0.2138
-0.032,2.503,71.9,0.2146
-0.032,3.643,60.8,0.2153
-0.032,5.565,49.6,0.2153
-0.032,6.914,38.5,0.216
-0.032,7.091,32.9,0.2167
-0.032,8.17,32.4,0.2182
-0.032,8.817,30.3,0.2196
-0.032,7.795,30,0.2211
-0.032,6.433,33.5,0.2211
-0.004,5.437,36.2,0.2211
-0.004,4.48,39.7,0.2211
-0.004,3.142,45.4,0.2204
-0.004,2.503,49,0.2204
-0.004,2.047,51.6,0.2204
-0.004,2.101,55.4,0.2204
-0.004,2.37,53.2,0.2196
-0.004,2.236,52.3,0.2204
-0.004,1.615,54.5,0.2196
-0.004,0.024,58.4,0.2196
-0.004,1.398,64.7,0.2182
-0.004,1.099,73.6,0.2182
-0.004,1.561,74.8,0.2175
0.024,2.584,77.9,0.2175
